project_name,functional_unit,metal,production_route,recycled_content_pct,electricity_kWh_per_FU,electricity_grid_region,fuel_MJ_per_FU,fuel_type,transport_mode,transport_distance_km,process_yield_pct,end_of_life_recycle_rate_pct,product_lifetime_years,region,data_confidence
Al-proj-0001,1 tonne,Aluminium,mix,30,2078,US-Grid,1400,coal,rail,780,96,23,43,China,predicted
Al-proj-0002,1 tonne,Aluminium,mix,25,674,IN-Grid,562,oil,ship,1245,97,93,35,India,user
Co-proj-0003,1 tonne,Copper,mix,25,2192,CN-Grid,1595,coal,rail,1881,99,82,22,China,user
Co-proj-0004,1 tonne,Copper,secondary,46,5751,IN-Grid,1994,biomass,truck,361,86,57,6,Europe,extracted
Co-proj-0005,1 tonne,Copper,secondary,45,6210,CN-Grid,1248,oil,ship,367,99,75,37,Europe,predicted
Co-proj-0006,1 tonne,Copper,primary,21,9221,CN-Grid,1102,natural_gas,ship,570,96,33,48,India,user
Co-proj-0007,1 tonne,Copper,secondary,70,5510,IN-Grid,1029,coal,rail,812,93,44,40,Europe,predicted
Al-proj-0008,1 tonne,Aluminium,mix,84,1603,EU-Grid,1903,biomass,truck,328,95,46,8,Europe,user
Co-proj-0009,1 tonne,Copper,secondary,80,1615,EU-Grid,949,oil,ship,827,85,67,49,USA,predicted
Al-proj-0010,1 tonne,Aluminium,secondary,40,1513,IN-Grid,1084,coal,rail,892,96,53,28,USA,extracted
Al-proj-0011,1 tonne,Aluminium,secondary,44,1049,US-Grid,1128,oil,ship,1749,97,68,32,China,predicted
Co-proj-0012,1 tonne,Copper,primary,78,19226,US-Grid,1348,biomass,ship,1952,95,79,34,China,predicted
Al-proj-0013,1 tonne,Aluminium,secondary,62,2042,US-Grid,1878,biomass,rail,396,88,28,21,Europe,predicted
Al-proj-0014,1 tonne,Aluminium,secondary,84,2822,IN-Grid,261,natural_gas,ship,65,92,66,48,Europe,user
Al-proj-0015,1 tonne,Aluminium,secondary,71,3766,US-Grid,1556,biomass,truck,1919,94,68,16,China,user
Al-proj-0016,1 tonne,Aluminium,primary,34,3659,EU-Grid,1209,coal,truck,753,87,62,36,USA,user
Al-proj-0017,1 tonne,Aluminium,mix,23,4426,IN-Grid,1517,biomass,rail,1386,94,53,43,USA,predicted
Co-proj-0018,1 tonne,Copper,mix,55,2504,CN-Grid,1843,natural_gas,truck,902,98,47,12,USA,extracted
Al-proj-0019,1 tonne,Aluminium,secondary,30,4535,US-Grid,541,natural_gas,ship,255,85,71,31,Europe,user
